,Student ID,student_name_x,gender_x,grade_x,school_name_x,reading_score_x,math_score_x,student_name_y,gender_y,grade_y,school_name_y,reading_score_y,math_score_y
20,38,Kimberly Mercado,F,12th,Huang High School,73,77,Kimberly Mercado,F,12th,Huang High School,73,77
21,41,Jennifer Parks,F,11th,Huang High School,85,95,Jennifer Parks,F,11th,Huang High School,85,95
22,47,Ellen Brown,F,11th,Huang High School,77,81,Ellen Brown,F,11th,Huang High School,77,81
23,49,Natalie Mitchell,F,10th,Huang High School,73,93,Natalie Mitchell,F,10th,Huang High School,73,93
24,50,Tiffany Gutierrez,F,10th,Huang High School,82,95,Tiffany Gutierrez,F,10th,Huang High School,82,95
25,55,Jerry Gordon,M,12th,Huang High School,95,71,Jerry Gordon,M,12th,Huang High School,95,71
26,56,Michael Cox,M,11th,Huang High School,72,72,Michael Cox,M,11th,Huang High School,72,72
27,58,Allison King,F,11th,Huang High School,74,84,Allison King,F,11th,Huang High School,74,84
28,59,Theresa Meyer,F,9th,Huang High School,88,70,Theresa Meyer,F,9th,Huang High School,88,70
29,66,Mr. Dylan Taylor MD,M,10th,Huang High School,77,93,Mr. Dylan Taylor MD,M,10th,Huang High School,77,93
30,69,Michael Morgan,M,11th,Huang High School,75,89,Michael Morgan,M,11th,Huang High School,75,89
31,73,Kyle Martin,M,10th,Huang High School,72,94,Kyle Martin,M,10th,Huang High School,72,94
32,74,Dr. Scott Gill,M,10th,Huang High School,85,85,Dr. Scott Gill,M,10th,Huang High School,85,85
33,76,Erin Liu,F,9th,Huang High School,78,76,Erin Liu,F,9th,Huang High School,78,76
34,77,Marcus Richards,M,12th,Huang High School,83,76,Marcus Richards,M,12th,Huang High School,83,76
35,79,Elizabeth Mckinney,F,9th,Huang High School,74,81,Elizabeth Mckinney,F,9th,Huang High School,74,81
36,81,Lisa Frye,F,12th,Huang High School,94,73,Lisa Frye,F,12th,Huang High School,94,73
37,86,Leah Benitez,F,10th,Huang High School,93,84,Leah Benitez,F,10th,Huang High School,93,84
38,88,Melissa Hunter,F,10th,Huang High School,90,70,Melissa Hunter,F,10th,Huang High School,90,70
39,89,Miss Madison Everett,F,11th,Huang High School,70,78,Miss Madison Everett,F,11th,Huang High School,70,78
40,90,Ronald Garcia,M,9th,Huang High School,99,86,Ronald Garcia,M,9th,Huang High School,99,86
41,91,Mark Cherry,M,10th,Huang High School,96,98,Mark Cherry,M,10th,Huang High School,96,98
42,92,Ryan Stokes,M,9th,Huang High School,75,72,Ryan Stokes,M,9th,Huang High School,75,72
43,93,Isaiah Maldonado,M,10th,Huang High School,84,91,Isaiah Maldonado,M,10th,Huang High School,84,91
44,96,Jessica Smith,F,9th,Huang High School,77,72,Jessica Smith,F,9th,Huang High School,77,72
45,97,Dawn Trujillo,F,11th,Huang High School,82,87,Dawn Trujillo,F,11th,Huang High School,82,87
46,98,Virginia Ramirez MD,F,10th,Huang High School,99,89,Virginia Ramirez MD,F,10th,Huang High School,99,89
47,103,William Mcdonald,M,12th,Huang High School,86,74,William Mcdonald,M,12th,Huang High School,86,74
48,105,Alexis Todd,F,11th,Huang High School,82,95,Alexis Todd,F,11th,Huang High School,82,95
49,106,David Hansen,M,10th,Huang High School,76,86,David Hansen,M,10th,Huang High School,76,86
50,111,Kenneth Chavez,M,9th,Huang High School,70,79,Kenneth Chavez,M,9th,Huang High School,70,79
51,113,Michael Roy,M,12th,Huang High School,85,73,Michael Roy,M,12th,Huang High School,85,73
52,114,Richard Ryan,M,12th,Huang High School,88,86,Richard Ryan,M,12th,Huang High School,88,86
53,117,Christopher Tucker,M,10th,Huang High School,80,90,Christopher Tucker,M,10th,Huang High School,80,90
54,120,Erin Prince,F,12th,Huang High School,88,81,Erin Prince,F,12th,Huang High School,88,81
55,121,Bernard Ortiz,M,11th,Huang High School,78,76,Bernard Ortiz,M,11th,Huang High School,78,76
56,123,Christopher Fritz,M,9th,Huang High School,88,77,Christopher Fritz,M,9th,Huang High School,88,77
57,127,Ronald Ward,M,10th,Huang High School,74,89,Ronald Ward,M,10th,Huang High School,74,89
58,128,Nathaniel Hampton,M,11th,Huang High School,70,81,Nathaniel Hampton,M,11th,Huang High School,70,81
59,130,James Taylor,M,9th,Huang High School,77,71,James Taylor,M,9th,Huang High School,77,71
60,133,Marisa Lowe,F,9th,Huang High School,95,95,Marisa Lowe,F,9th,Huang High School,95,95
61,135,Matthew Rodriguez,M,12th,Huang High School,80,79,Matthew Rodriguez,M,12th,Huang High School,80,79
62,137,Michelle Martin,F,12th,Huang High School,86,92,Michelle Martin,F,12th,Huang High School,86,92
63,138,John Sparks,M,9th,Huang High School,74,91,John Sparks,M,9th,Huang High School,74,91
64,139,Ann Blake,F,11th,Huang High School,97,75,Ann Blake,F,11th,Huang High School,97,75
65,141,Steven Houston,M,9th,Huang High School,99,71,Steven Houston,M,9th,Huang High School,99,71
66,142,Kristen Anderson,F,11th,Huang High School,78,76,Kristen Anderson,F,11th,Huang High School,78,76
67,143,Cory Jones,M,11th,Huang High School,82,73,Cory Jones,M,11th,Huang High School,82,73
68,144,Jennifer Mora,F,10th,Huang High School,98,73,Jennifer Mora,F,10th,Huang High School,98,73
69,145,Dennis Griffin,M,9th,Huang High School,78,71,Dennis Griffin,M,9th,Huang High School,78,71
70,146,Darryl Brown,M,10th,Huang High School,98,90,Darryl Brown,M,10th,Huang High School,98,90
71,149,Jeffrey Rose,M,12th,Huang High School,81,91,Jeffrey Rose,M,12th,Huang High School,81,91
72,150,Jamie Moreno,F,9th,Huang High School,78,99,Jamie Moreno,F,9th,Huang High School,78,99
73,153,Vanessa Frazier,F,10th,Huang High School,85,82,Vanessa Frazier,F,10th,Huang High School,85,82
74,154,Stephen Bryant,M,11th,Huang High School,83,77,Stephen Bryant,M,11th,Huang High School,83,77
75,155,Lawrence Liu,M,12th,Huang High School,82,73,Lawrence Liu,M,12th,Huang High School,82,73
76,156,Joseph Larsen,M,9th,Huang High School,88,82,Joseph Larsen,M,9th,Huang High School,88,82
77,157,Susan Collier,F,11th,Huang High School,76,92,Susan Collier,F,11th,Huang High School,76,92
78,159,Julie Harper,F,12th,Huang High School,88,73,Julie Harper,F,12th,Huang High School,88,73
79,160,Meghan Carroll,F,12th,Huang High School,75,98,Meghan Carroll,F,12th,Huang High School,75,98
80,163,Jennifer Rodgers,F,11th,Huang High School,83,98,Jennifer Rodgers,F,11th,Huang High School,83,98
81,165,Ryan Perez,M,11th,Huang High School,70,87,Ryan Perez,M,11th,Huang High School,70,87
82,166,Ryan Cox,M,12th,Huang High School,95,72,Ryan Cox,M,12th,Huang High School,95,72
83,171,Curtis Garner,M,10th,Huang High School,79,78,Curtis Garner,M,10th,Huang High School,79,78
84,172,Sarah Miller,F,10th,Huang High School,94,71,Sarah Miller,F,10th,Huang High School,94,71
85,174,Robert Atkins,M,9th,Huang High School,85,97,Robert Atkins,M,9th,Huang High School,85,97
86,175,Alexis Crawford,M,10th,Huang High School,70,82,Alexis Crawford,M,10th,Huang High School,70,82
87,176,Ryan Maddox,M,11th,Huang High School,80,80,Ryan Maddox,M,11th,Huang High School,80,80
88,180,Kimberly Martinez,F,11th,Huang High School,84,83,Kimberly Martinez,F,11th,Huang High School,84,83
89,181,Matthew Anderson,M,11th,Huang High School,92,99,Matthew Anderson,M,11th,Huang High School,92,99
90,183,Jenna Luna,F,9th,Huang High School,73,91,Jenna Luna,F,9th,Huang High School,73,91
91,185,Mary Fox,F,11th,Huang High School,94,92,Mary Fox,F,11th,Huang High School,94,92
92,186,Joseph Perkins,M,10th,Huang High School,96,76,Joseph Perkins,M,10th,Huang High School,96,76
93,187,Kelly Phillips,F,12th,Huang High School,78,90,Kelly Phillips,F,12th,Huang High School,78,90
94,190,Travis Jackson,M,11th,Huang High School,86,96,Travis Jackson,M,11th,Huang High School,86,96
95,199,Kevin Murphy,M,10th,Huang High School,85,99,Kevin Murphy,M,10th,Huang High School,85,99
96,200,Vanessa Harper,F,12th,Huang High School,85,85,Vanessa Harper,F,12th,Huang High School,85,85
97,203,Jerry Phillips,M,10th,Huang High School,82,72,Jerry Phillips,M,10th,Huang High School,82,72
98,205,Jessica Warner,F,11th,Huang High School,94,83,Jessica Warner,F,11th,Huang High School,94,83
99,206,Dorothy Burke,F,11th,Huang High School,91,92,Dorothy Burke,F,11th,Huang High School,91,92
100,207,Bethany Walter,F,9th,Huang High School,88,76,Bethany Walter,F,9th,Huang High School,88,76
101,208,Melissa Avery,F,9th,Huang High School,83,86,Melissa Avery,F,9th,Huang High School,83,86
102,209,Daniel Sutton,M,11th,Huang High School,86,96,Daniel Sutton,M,11th,Huang High School,86,96
103,211,Timothy Quinn,M,10th,Huang High School,83,76,Timothy Quinn,M,10th,Huang High School,83,76
104,216,Patricia Petty,F,12th,Huang High School,79,98,Patricia Petty,F,12th,Huang High School,79,98
105,219,Donald Perez,M,9th,Huang High School,87,79,Donald Perez,M,9th,Huang High School,87,79
106,220,Curtis Gomez,M,9th,Huang High School,77,77,Curtis Gomez,M,9th,Huang High School,77,77
107,221,Courtney Brown,F,9th,Huang High School,90,88,Courtney Brown,F,9th,Huang High School,90,88
108,222,Nicole Randall,F,9th,Huang High School,94,78,Nicole Randall,F,9th,Huang High School,94,78
109,224,Anthony Alvarez,M,10th,Huang High School,93,90,Anthony Alvarez,M,10th,Huang High School,93,90
110,225,Shawn Farrell,M,10th,Huang High School,89,87,Shawn Farrell,M,10th,Huang High School,89,87
111,226,Jesus Schmidt,M,9th,Huang High School,80,76,Jesus Schmidt,M,9th,Huang High School,80,76
112,229,Norman Thompson,M,9th,Huang High School,99,78,Norman Thompson,M,9th,Huang High School,99,78
113,231,Kayla Watts,F,11th,Huang High School,74,89,Kayla Watts,F,11th,Huang High School,74,89
114,233,Heidi Scott,F,12th,Huang High School,77,98,Heidi Scott,F,12th,Huang High School,77,98
115,234,Anthony Williams,M,10th,Huang High School,78,93,Anthony Williams,M,10th,Huang High School,78,93
116,235,Sarah Hill,F,12th,Huang High School,88,97,Sarah Hill,F,12th,Huang High School,88,97
117,236,Kim Wang,F,9th,Huang High School,90,71,Kim Wang,F,9th,Huang High School,90,71
118,237,Beth Manning,F,11th,Huang High School,88,92,Beth Manning,F,11th,Huang High School,88,92
119,238,Ryan Hanson,M,12th,Huang High School,87,83,Ryan Hanson,M,12th,Huang High School,87,83
120,239,James Wood,M,9th,Huang High School,70,81,James Wood,M,9th,Huang High School,70,81
121,240,Corey Greene,M,10th,Huang High School,70,94,Corey Greene,M,10th,Huang High School,70,94
122,241,John Carter,M,11th,Huang High School,95,83,John Carter,M,11th,Huang High School,95,83
123,242,Beth Garza,F,11th,Huang High School,75,92,Beth Garza,F,11th,Huang High School,75,92
124,243,Karen Jones,F,9th,Huang High School,78,96,Karen Jones,F,9th,Huang High School,78,96
125,245,Lisa Brown,F,9th,Huang High School,99,72,Lisa Brown,F,9th,Huang High School,99,72
126,249,Leah Skinner,F,11th,Huang High School,70,79,Leah Skinner,F,11th,Huang High School,70,79
127,250,Anthony Mercado,M,11th,Huang High School,95,97,Anthony Mercado,M,11th,Huang High School,95,97
128,251,Walter Kelly,M,9th,Huang High School,80,78,Walter Kelly,M,9th,Huang High School,80,78
129,253,Ashley Jones,F,12th,Huang High School,96,72,Ashley Jones,F,12th,Huang High School,96,72
130,256,Linda Curry,F,11th,Huang High School,74,76,Linda Curry,F,11th,Huang High School,74,76
131,261,Peter Hampton,M,9th,Huang High School,83,97,Peter Hampton,M,9th,Huang High School,83,97
132,264,Jamie Escobar,F,10th,Huang High School,91,91,Jamie Escobar,F,10th,Huang High School,91,91
133,265,Sandra Mason,F,12th,Huang High School,76,83,Sandra Mason,F,12th,Huang High School,76,83
134,266,Craig Cole,M,12th,Huang High School,83,92,Craig Cole,M,12th,Huang High School,83,92
135,267,Lisa Warren,F,12th,Huang High School,70,81,Lisa Warren,F,12th,Huang High School,70,81
136,268,Maria Howard,F,9th,Huang High School,74,91,Maria Howard,F,9th,Huang High School,74,91
137,270,John Turner,M,11th,Huang High School,78,99,John Turner,M,11th,Huang High School,78,99
138,271,Timothy Wang,M,12th,Huang High School,93,75,Timothy Wang,M,12th,Huang High School,93,75
139,274,Brandon Miles,M,11th,Huang High School,98,76,Brandon Miles,M,11th,Huang High School,98,76
140,275,Christina Whitaker,F,12th,Huang High School,86,89,Christina Whitaker,F,12th,Huang High School,86,89
141,276,Nicole Peterson,F,9th,Huang High School,78,98,Nicole Peterson,F,9th,Huang High School,78,98
142,278,Todd Carrillo,M,10th,Huang High School,80,99,Todd Carrillo,M,10th,Huang High School,80,99
143,280,Ashley Jones,F,9th,Huang High School,92,72,Ashley Jones,F,9th,Huang High School,92,72
144,282,Robert Carlson,M,12th,Huang High School,73,82,Robert Carlson,M,12th,Huang High School,73,82
145,286,Katrina Hill,F,10th,Huang High School,73,73,Katrina Hill,F,10th,Huang High School,73,73
146,291,Carmen Johnson,F,12th,Huang High School,89,79,Carmen Johnson,F,12th,Huang High School,89,79
147,293,Kent Burns,M,9th,Huang High School,81,72,Kent Burns,M,9th,Huang High School,81,72
148,295,Craig Hahn,M,9th,Huang High School,92,73,Craig Hahn,M,9th,Huang High School,92,73
149,296,Jeremy Wu,M,11th,Huang High School,72,81,Jeremy Wu,M,11th,Huang High School,72,81
150,297,Aaron Rodriguez,M,11th,Huang High School,75,78,Aaron Rodriguez,M,11th,Huang High School,75,78
151,299,Diana Evans,F,11th,Huang High School,96,94,Diana Evans,F,11th,Huang High School,96,94
152,300,Michele Pearson,F,12th,Huang High School,89,98,Michele Pearson,F,12th,Huang High School,89,98
153,302,Maria Welch,F,12th,Huang High School,74,97,Maria Welch,F,12th,Huang High School,74,97
154,304,Devon Conner,M,9th,Huang High School,91,89,Devon Conner,M,9th,Huang High School,91,89
155,305,Christine Patel,F,9th,Huang High School,99,94,Christine Patel,F,9th,Huang High School,99,94
156,306,David Lopez,M,9th,Huang High School,95,95,David Lopez,M,9th,Huang High School,95,95
157,311,William Adams,M,12th,Huang High School,85,82,William Adams,M,12th,Huang High School,85,82
158,312,Paula Harrison,F,11th,Huang High School,81,91,Paula Harrison,F,11th,Huang High School,81,91
159,317,Rachael Liu,F,10th,Huang High School,77,79,Rachael Liu,F,10th,Huang High School,77,79
160,318,Donald Lewis,M,11th,Huang High School,72,72,Donald Lewis,M,11th,Huang High School,72,72
161,320,Todd Levy,M,12th,Huang High School,91,94,Todd Levy,M,12th,Huang High School,91,94
162,322,Michael Lewis,M,9th,Huang High School,98,90,Michael Lewis,M,9th,Huang High School,98,90
163,324,Jeffrey Arellano,M,9th,Huang High School,89,87,Jeffrey Arellano,M,9th,Huang High School,89,87
164,325,Heather Allen MD,F,11th,Huang High School,96,94,Heather Allen MD,F,11th,Huang High School,96,94
165,327,Robert Harper,M,12th,Huang High School,78,85,Robert Harper,M,12th,Huang High School,78,85
166,329,Tracey Crane,F,9th,Huang High School,77,97,Tracey Crane,F,9th,Huang High School,77,97
167,330,Elizabeth Allen,F,9th,Huang High School,73,77,Elizabeth Allen,F,9th,Huang High School,73,77
168,333,Nicholas Mcclain,M,9th,Huang High School,76,90,Nicholas Mcclain,M,9th,Huang High School,76,90
169,334,Tanya Harris,F,11th,Huang High School,85,86,Tanya Harris,F,11th,Huang High School,85,86
170,335,Amy Smith,F,12th,Huang High School,93,93,Amy Smith,F,12th,Huang High School,93,93
171,337,Andrea Wood,F,10th,Huang High School,77,70,Andrea Wood,F,10th,Huang High School,77,70
172,338,Maureen Massey,F,9th,Huang High School,98,76,Maureen Massey,F,9th,Huang High School,98,76
173,340,Alexandra Smith,F,11th,Huang High School,78,77,Alexandra Smith,F,11th,Huang High School,78,77
174,342,Jose Carlson,M,11th,Huang High School,90,91,Jose Carlson,M,11th,Huang High School,90,91
175,343,Deborah Macias,F,9th,Huang High School,90,87,Deborah Macias,F,9th,Huang High School,90,87
176,344,Dwayne Rice,M,11th,Huang High School,99,78,Dwayne Rice,M,11th,Huang High School,99,78
177,346,Eric Bowman,M,9th,Huang High School,80,94,Eric Bowman,M,9th,Huang High School,80,94
178,348,David Miller,M,12th,Huang High School,70,92,David Miller,M,12th,Huang High School,70,92
179,350,Brooke Austin,F,11th,Huang High School,78,98,Brooke Austin,F,11th,Huang High School,78,98
180,355,Stephanie Palmer,F,10th,Huang High School,85,91,Stephanie Palmer,F,10th,Huang High School,85,91
181,356,Christine Perry,F,11th,Huang High School,92,97,Christine Perry,F,11th,Huang High School,92,97
182,358,Amber Smith,F,12th,Huang High School,82,75,Amber Smith,F,12th,Huang High School,82,75
183,363,Erica Conway,F,11th,Huang High School,79,72,Erica Conway,F,11th,Huang High School,79,72
184,368,Daniel Matthews,M,9th,Huang High School,78,78,Daniel Matthews,M,9th,Huang High School,78,78
185,370,Frank Garza,M,11th,Huang High School,84,95,Frank Garza,M,11th,Huang High School,84,95
186,372,Robert Goodwin,M,12th,Huang High School,95,92,Robert Goodwin,M,12th,Huang High School,95,92
187,374,Stephanie Taylor,F,12th,Huang High School,75,97,Stephanie Taylor,F,12th,Huang High School,75,97
188,376,Erin Cohen,F,10th,Huang High School,71,74,Erin Cohen,F,10th,Huang High School,71,74
189,380,Rachel Burton,F,9th,Huang High School,75,75,Rachel Burton,F,9th,Huang High School,75,75
190,382,Lawrence Montgomery,M,11th,Huang High School,87,70,Lawrence Montgomery,M,11th,Huang High School,87,70
191,385,Donna Dean,F,10th,Huang High School,98,77,Donna Dean,F,10th,Huang High School,98,77
192,387,Jodi Brown,F,12th,Huang High School,70,85,Jodi Brown,F,12th,Huang High School,70,85
193,388,Elizabeth Richard,F,9th,Huang High School,90,88,Elizabeth Richard,F,9th,Huang High School,90,88
194,389,Aaron Martinez,M,9th,Huang High School,85,72,Aaron Martinez,M,9th,Huang High School,85,72
195,390,Stephen Fischer,M,9th,Huang High School,81,88,Stephen Fischer,M,9th,Huang High School,81,88
196,391,Diana Reeves,F,11th,Huang High School,86,83,Diana Reeves,F,11th,Huang High School,86,83
197,392,Jeffrey Eaton,M,10th,Huang High School,99,90,Jeffrey Eaton,M,10th,Huang High School,99,90
198,396,Melinda Nelson,F,12th,Huang High School,75,82,Melinda Nelson,F,12th,Huang High School,75,82
199,397,Kevin Brooks,M,11th,Huang High School,78,72,Kevin Brooks,M,11th,Huang High School,78,72
200,404,Amanda Bennett,F,11th,Huang High School,88,97,Amanda Bennett,F,11th,Huang High School,88,97
201,405,Dennis Padilla,M,11th,Huang High School,92,93,Dennis Padilla,M,11th,Huang High School,92,93
202,408,Andrew King,M,10th,Huang High School,99,80,Andrew King,M,10th,Huang High School,99,80
203,410,Lauren King,F,9th,Huang High School,74,82,Lauren King,F,9th,Huang High School,74,82
204,411,Stephanie Mercado,F,9th,Huang High School,93,98,Stephanie Mercado,F,9th,Huang High School,93,98
205,413,Jonathan Marshall,M,12th,Huang High School,86,72,Jonathan Marshall,M,12th,Huang High School,86,72
206,414,Luke Lowery MD,M,10th,Huang High School,93,82,Luke Lowery MD,M,10th,Huang High School,93,82
207,415,Emily Reynolds,F,9th,Huang High School,88,99,Emily Reynolds,F,9th,Huang High School,88,99
208,416,Kevin Mclean,M,9th,Huang High School,86,80,Kevin Mclean,M,9th,Huang High School,86,80
209,417,Elizabeth Taylor,F,11th,Huang High School,97,84,Elizabeth Taylor,F,11th,Huang High School,97,84
210,420,Holly Watkins,F,9th,Huang High School,81,74,Holly Watkins,F,9th,Huang High School,81,74
211,422,Michelle Griffin,F,10th,Huang High School,85,81,Michelle Griffin,F,10th,Huang High School,85,81
212,428,Natalie Reynolds,F,10th,Huang High School,77,70,Natalie Reynolds,F,10th,Huang High School,77,70
213,432,Emily Cardenas MD,F,10th,Huang High School,77,87,Emily Cardenas MD,F,10th,Huang High School,77,87
214,435,Mrs. Elizabeth Espinoza DDS,F,9th,Huang High School,76,75,Mrs. Elizabeth Espinoza DDS,F,9th,Huang High School,76,75
215,436,Toni Porter,F,11th,Huang High School,92,72,Toni Porter,F,11th,Huang High School,92,72
216,438,Brenda Peterson,F,10th,Huang High School,75,78,Brenda Peterson,F,10th,Huang High School,75,78
217,439,Paul Hamilton,M,9th,Huang High School,73,72,Paul Hamilton,M,9th,Huang High School,73,72
218,446,Breanna Mosley,F,9th,Huang High School,85,79,Breanna Mosley,F,9th,Huang High School,85,79
219,448,Ian Brown,M,9th,Huang High School,77,71,Ian Brown,M,9th,Huang High School,77,71
220,454,Stephanie Robles,F,9th,Huang High School,83,95,Stephanie Robles,F,9th,Huang High School,83,95
221,456,Christopher Williams,M,11th,Huang High School,89,83,Christopher Williams,M,11th,Huang High School,89,83
222,461,Gina Contreras,F,9th,Huang High School,92,92,Gina Contreras,F,9th,Huang High School,92,92
223,462,Jaime Alexander,F,10th,Huang High School,93,77,Jaime Alexander,F,10th,Huang High School,93,77
224,463,Kevin Coleman,M,12th,Huang High School,88,77,Kevin Coleman,M,12th,Huang High School,88,77
225,464,Caitlin Williams,F,10th,Huang High School,98,79,Caitlin Williams,F,10th,Huang High School,98,79
226,465,Joseph Lloyd,M,9th,Huang High School,81,89,Joseph Lloyd,M,9th,Huang High School,81,89
227,466,Carrie Hernandez,F,11th,Huang High School,86,92,Carrie Hernandez,F,11th,Huang High School,86,92
228,469,Joel Harper,M,9th,Huang High School,99,94,Joel Harper,M,9th,Huang High School,99,94
229,471,Melissa Yoder,F,10th,Huang High School,95,74,Melissa Yoder,F,10th,Huang High School,95,74
230,474,Luis Parker,M,9th,Huang High School,89,95,Luis Parker,M,9th,Huang High School,89,95
231,476,Lindsey Mitchell,F,10th,Huang High School,72,89,Lindsey Mitchell,F,10th,Huang High School,72,89
232,477,Brenda Price,F,10th,Huang High School,79,75,Brenda Price,F,10th,Huang High School,79,75
233,479,Amy Evans,F,10th,Huang High School,92,73,Amy Evans,F,10th,Huang High School,92,73
234,481,Amber Cunningham,F,11th,Huang High School,97,86,Amber Cunningham,F,11th,Huang High School,97,86
235,485,Samuel Blackburn,M,11th,Huang High School,73,96,Samuel Blackburn,M,11th,Huang High School,73,96
236,486,Shawn Nielsen,M,9th,Huang High School,86,81,Shawn Nielsen,M,9th,Huang High School,86,81
237,491,Michael Townsend,M,10th,Huang High School,95,78,Michael Townsend,M,10th,Huang High School,95,78
238,492,Ronnie Rodriguez,M,10th,Huang High School,71,79,Ronnie Rodriguez,M,10th,Huang High School,71,79
239,493,Savannah Smith,F,10th,Huang High School,95,79,Savannah Smith,F,10th,Huang High School,95,79
240,495,Michael Brown,M,12th,Huang High School,99,71,Michael Brown,M,12th,Huang High School,99,71
241,496,Robert Young,M,9th,Huang High School,70,72,Robert Young,M,9th,Huang High School,70,72
242,497,Daniel Griffin,M,9th,Huang High School,74,98,Daniel Griffin,M,9th,Huang High School,74,98
243,498,James Johnson,M,11th,Huang High School,73,80,James Johnson,M,11th,Huang High School,73,80
244,499,Mary Cox,F,10th,Huang High School,97,79,Mary Cox,F,10th,Huang High School,97,79
245,500,Tina Aguirre,F,10th,Huang High School,86,90,Tina Aguirre,F,10th,Huang High School,86,90
246,502,Matthew Branch,M,10th,Huang High School,71,89,Matthew Branch,M,10th,Huang High School,71,89
247,503,Christopher Jordan,M,11th,Huang High School,78,84,Christopher Jordan,M,11th,Huang High School,78,84
248,504,Victor Mcguire,M,11th,Huang High School,93,94,Victor Mcguire,M,11th,Huang High School,93,94
249,505,Erin Arnold,F,10th,Huang High School,96,78,Erin Arnold,F,10th,Huang High School,96,78
250,506,Nicholas Wu,M,10th,Huang High School,85,74,Nicholas Wu,M,10th,Huang High School,85,74
251,507,Kristen Wilson,F,12th,Huang High School,72,89,Kristen Wilson,F,12th,Huang High School,72,89
252,509,Stephen Smith,M,9th,Huang High School,90,90,Stephen Smith,M,9th,Huang High School,90,90
253,511,Julie Bush,F,9th,Huang High School,96,97,Julie Bush,F,9th,Huang High School,96,97
254,513,James Kim,M,10th,Huang High School,89,70,James Kim,M,10th,Huang High School,89,70
255,515,Brandon Johnson,M,10th,Huang High School,80,74,Brandon Johnson,M,10th,Huang High School,80,74
256,517,Mark Washington,M,9th,Huang High School,84,78,Mark Washington,M,9th,Huang High School,84,78
257,518,Alicia Marshall,F,9th,Huang High School,97,84,Alicia Marshall,F,9th,Huang High School,97,84
258,520,Samantha Parker,F,10th,Huang High School,88,72,Samantha Parker,F,10th,Huang High School,88,72
259,521,Joseph Walters,M,11th,Huang High School,82,76,Joseph Walters,M,11th,Huang High School,82,76
260,522,Michael Zamora,M,11th,Huang High School,96,94,Michael Zamora,M,11th,Huang High School,96,94
261,523,Kyle Cobb,M,11th,Huang High School,72,87,Kyle Cobb,M,11th,Huang High School,72,87
262,524,Jill Clark,F,10th,Huang High School,76,92,Jill Clark,F,10th,Huang High School,76,92
263,525,Sarah Warren,F,11th,Huang High School,93,91,Sarah Warren,F,11th,Huang High School,93,91
264,526,Jennifer Robinson,F,10th,Huang High School,89,85,Jennifer Robinson,F,10th,Huang High School,89,85
265,530,Brandon Stephens,M,10th,Huang High School,89,94,Brandon Stephens,M,10th,Huang High School,89,94
266,531,Jeff Holland,M,9th,Huang High School,72,79,Jeff Holland,M,9th,Huang High School,72,79
267,532,Samuel Schultz,M,10th,Huang High School,93,93,Samuel Schultz,M,10th,Huang High School,93,93
268,536,Jonathan Evans,M,9th,Huang High School,99,83,Jonathan Evans,M,9th,Huang High School,99,83
269,539,Lindsey Lane,F,9th,Huang High School,90,81,Lindsey Lane,F,9th,Huang High School,90,81
270,540,Jessica Hart,F,10th,Huang High School,95,98,Jessica Hart,F,10th,Huang High School,95,98
